RxnID,RxnFormula
FTL,kegg:C00058 + kegg:C00101 + kegg:C00002 <=> kegg:C00234 + kegg:C00008 + kegg:C00009
MTHFC,kegg:C00234 <=> kegg:C00445 + kegg:C00001
MTHFD,kegg:C00445 + kegg:C00005 <=> kegg:C00143 + kegg:C00006
SHMT,kegg:C00143 + kegg:C00037 + kegg:C00001 <=> kegg:C00065 + kegg:C00101
SGAT,kegg:C00065 + kegg:C00048 <=> kegg:C00168 + kegg:C00037
HPR,kegg:C00168 + kegg:C00004 <=> kegg:C00258 + kegg:C00003
GK,kegg:C00258 + kegg:C00002 <=> kegg:C00631 + kegg:C00008
ENO,kegg:C00631 <=> kegg:C00074 + kegg:C00001
PPC,kegg:C00011 + kegg:C00074 + kegg:C00001 <=> kegg:C00009 + kegg:C00036
MaDH,kegg:C00004 + kegg:C00036 <=> kegg:C00003 + kegg:C00149
MTK,kegg:C00002 + kegg:C00010 + kegg:C00149 <=> kegg:C00008 + kegg:C00009 + kegg:C04348
MCL,kegg:C04348 <=> kegg:C00024 + kegg:C00048
